event_date,country,protest_count
2023-11-01,Germany,1
2023-11-03,France,1
2023-11-04,France,1
2023-11-07,France,1
2023-11-07,Other,1
2023-11-08,France,2
2023-11-09,Other,1
2023-11-10,France,1
2023-11-10,Other,1
2023-11-11,France,1
2023-11-13,France,3
2023-11-13,Other,1
2023-11-14,France,2
2023-11-14,Other,1
2023-11-15,France,2
2023-11-15,Other,4
2023-11-16,France,2
2023-11-16,Other,3
2023-11-17,France,1
2023-11-17,Other,5
2023-11-18,France,2
2023-11-18,Other,21
2023-11-19,Other,1
2023-11-20,France,1
2023-11-20,Other,7
2023-11-21,France,10
2023-11-21,Other,1
2023-11-22,France,4
2023-11-22,Other,4
2023-11-23,France,1
2023-11-23,Other,5
2023-11-24,France,5
2023-11-24,Other,5
2023-11-25,France,1
2023-11-25,Other,3
2023-11-26,Other,3
2023-11-27,France,2
2023-11-27,Other,3
2023-11-28,France,5
2023-11-28,Other,3
2023-11-29,France,1
2023-11-29,Other,3
2023-11-30,France,2
2023-11-30,Other,5
2023-12-01,France,1
2023-12-01,Germany,1
2023-12-01,Other,5
2023-12-02,France,1
2023-12-02,Other,4
2023-12-03,Other,3
2023-12-04,France,6
2023-12-04,Other,3
2023-12-05,Other,4
2023-12-06,France,6
2023-12-06,Other,3
2023-12-07,Other,3
2023-12-08,Other,3
2023-12-09,France,3
2023-12-09,Germany,1
2023-12-09,Other,2
2023-12-10,Germany,1
2023-12-10,Other,3
2023-12-11,Other,3
2023-12-12,France,1
2023-12-12,Other,4
2023-12-13,France,4
2023-12-13,Germany,1
2023-12-13,Other,7
2023-12-14,Germany,2
2023-12-14,Other,4
2023-12-15,France,2
2023-12-15,Germany,8
2023-12-15,Other,3
2023-12-16,France,1
2023-12-16,Germany,6
2023-12-16,Other,2
2023-12-17,Other,2
2023-12-18,Germany,22
2023-12-18,Other,1
2023-12-19,France,2
2023-12-19,Germany,3
2023-12-19,Other,2
2023-12-20,France,1
2023-12-20,Germany,13
2023-12-20,Other,1
2023-12-21,France,2
2023-12-21,Germany,39
2023-12-21,Other,2
2023-12-22,France,1
2023-12-22,Germany,21
2023-12-22,Other,2
2023-12-23,Germany,4
2023-12-23,Other,1
2023-12-24,Other,1
2023-12-27,Germany,1
2023-12-28,Germany,5
2023-12-29,Germany,8
2023-12-30,Germany,3
2023-12-31,Other,1
2024-01-02,Germany,1
2024-01-03,Germany,5
2024-01-04,France,1
2024-01-04,Germany,12
2024-01-04,Other,1
2024-01-05,Germany,5
2024-01-05,Other,1
2024-01-06,Germany,2
2024-01-06,Other,1
2024-01-07,Germany,2
2024-01-08,France,1
2024-01-08,Germany,153
2024-01-08,Other,19
2024-01-09,Germany,32
2024-01-10,Germany,111
2024-01-10,Other,2
2024-01-11,Germany,99
2024-01-11,Other,3
2024-01-12,Germany,73
2024-01-12,Other,8
2024-01-13,Germany,29
2024-01-13,Other,9
2024-01-14,Germany,11
2024-01-14,Other,3
2024-01-15,Germany,45
2024-01-15,Other,15
2024-01-16,France,5
2024-01-16,Germany,4
2024-01-16,Other,6
2024-01-17,Germany,1
2024-01-17,Other,4
2024-01-18,France,14
2024-01-18,Germany,3
2024-01-18,Other,3
2024-01-19,France,3
2024-01-19,Germany,4
2024-01-19,Other,6
2024-01-20,France,6
2024-01-20,Germany,3
2024-01-20,Other,5
2024-01-21,Germany,2
2024-01-21,Other,5
2024-01-22,France,18
2024-01-22,Germany,3
2024-01-22,Other,12
2024-01-23,France,52
2024-01-23,Germany,2
2024-01-23,Other,7
2024-01-24,France,23
2024-01-24,Germany,2
2024-01-24,Other,84
2024-01-25,France,141
2024-01-25,Germany,8
2024-01-25,Other,17
2024-01-26,France,75
2024-01-26,Germany,18
2024-01-26,Other,35
2024-01-27,France,10
2024-01-27,Germany,8
2024-01-27,Other,10
2024-01-28,France,3
2024-01-28,Germany,4
2024-01-28,Other,46
2024-01-29,France,30
2024-01-29,Germany,7
2024-01-29,Other,32
2024-01-30,France,91
2024-01-30,Germany,6
2024-01-30,Other,45
2024-01-31,France,55
2024-01-31,Germany,127
2024-01-31,Other,53
2024-02-01,France,49
2024-02-01,Germany,9
2024-02-01,Other,58
2024-02-02,France,14
2024-02-02,Germany,8
2024-02-02,Other,66
